date,summary,run,bike,sports,yoga,abs,lift
7/1/17,shoulders,1.1,0,0,0,5,1
7/2/17,0,0,5,0,0.25,0,0
7/3/17,0,0,4.25,0,0,0,0
7/4/17,"bike, abs",0,4.6,0,0.33,10,0
7/5/17,chest+tri,0,0,0,0,6.5,1
7/6/17,0,0,0,0,0,0,0
7/7/17,legs,0,2.1,0.9166666667,0,2,1
7/9/17,run,2,0,0,0,0,0.3
7/10/17,back+bi,0.8,0,0,0,10,1
7/11/17,run,2,3,0,0,0,0.15
7/12/17,0,0,0,0,0,0,0
7/13/17,shoulders,0,6,0,0,11,1
7/14/17,run,3.2,0,0,0,0,0.3
7/17/17,bike,0,5.7,0,0,10,0
7/18/17,chest+tri,0,4.433333333,0,0,10,1
7/19/17,0,0,0,0,0,0,0
7/20/17,yoga,0,0,0,0.5333333333,0,0
7/23/17,legs,0.8,0,0,0,12,1
7/24/17,run,1.8,0,0.5,0,0,0.2
7/25/17,yoga,0,5.4,0,0.6666666667,0,0
7/26/17,bball,0,0,0.5,0,5,0.1
7/27/17,back+bi,0.8,12.26666667,0,0,8,1
7/28/17,yoga,0,0,0,0.8333333333,0,0
7/29/17,"run, yoga",3.4,0,0,0.5,0,0
7/30/17,"run, pullups",1.75,3,0,0,0,0.3
7/31/17,0,0,0,0,0,0,0
1/2/17,ski,0,0,4,0,0,0
1/3/17,yoga,0,0,0,0.67,0,0
1/5/17,ski,0,0,3.666666667,0,0,0
1/7/17,abs,0,0,0,0,8,0
1/9/17,yoga,0,0,0,0.92,0,0
1/10/17,pullups,0,0,0,0.17,0,1
1/11/17,yoga,0,0,0,0.25,0,0
1/12/17,yoga,0,0,0,0.32,0,0
1/13/17,pullups,0,0,0,0,0,0.5
1/14/17,yoga,0,0,0,0.18,0,0
1/16/17,yoga,0,0,0,0.82,0,0
1/18/17,hike,1.667,0,0,0,0,0
1/19/17,dips,0,0,0,0.13,0,1
1/20/17,yoga,0,0,0,0.78,0,0
1/22/17,yoga,0,0,0,0.53,0,0
1/23/17,bball,0,0,1,0,0,0
1/24/17,row,0,0,0,0,10,0
1/25/17,yoga,0,0,0,0.45,0,0
1/26/17,yoga,0,0,0,0.50,0,0
1/27/17,bball,0,0,1.67,0.17,0,0
1/28/17,yoga,0,0,0,0.45,0,0
1/29/17,yoga,0,0,0,0.9333333333,0,0
1/30/17,bball,0,0,1.33,0.33,5,0
1/31/17,pullups,0,0,0,0,0,0.6
2/1/17,yoga,0,0,0,0.67,0,0
2/2/17,0,0,0,0,0,5,0
2/3/17,0,0,0,0,0.17,0,0
2/4/17,dips,0,7.4,0,0,0,0.8333333333
2/5/17,yoga,0,0,0,0.68,8,0
2/6/17,bball,0,0,2.25,0.17,0,0
2/7/17,bike,0,3.4,0,0.25,0,0
2/8/17,shoulders,0,0,0.167,0,0,0.6666666667
2/9/17,yoga,0,0,0,0.37,0,0
2/10/17,bball,0,0,1.75,0,0,0
2/11/17,yoga,0,0,0,0.62,0,0
2/12/17,bball,0.5,0,1,0,0,0
2/13/17,0,0,0,0,0,0,0
2/15/17,bball,0,0,1.67,0,0,0
2/16/17,pullups,0,0,0.5,0,8,0.5
2/17/17,yoga,0,0,0,0.52,0,0
2/18/17,yoga,0,5.8,0,0.93,0,0
2/19/17,"bball, yoga",0,0,1.25,1.90,0,0
2/20/17,yoga,0,0,0,0.60,0,0
2/21/17,yoga,0,0,0,0.62,0,0
2/22/17,yoga,0,0,0,0.68,4,0
2/23/17,dips,0,8.6,0.33,0.10,8,1
2/24/17,bball,0,0,1.75,0,5,0
2/25/17,yoga,0,3.4,0.67,0,0,0
2/26/17,bball,0,0,1.25,0,0,0
2/27/17,yoga,0,0,0,0.35,0,0
2/28/17,yoga,0,0,0,0.33,0,0
3/2/17,yoga,0,3.1,0,0.67,0,0
3/3/17,bball,0,0,2.25,0.25,0,0
3/4/17,0,0,0,0,0,10,0
3/6/17,yoga,0,0,0,0.52,0,0
3/7/17,yoga,0,0,0,0.25,0,0
3/8/17,shoulders,0,3.7,0.3333333333,0,0,1
3/9/17,yoga,0,0,0,0.43,0,0
3/11/17,yoga,0,0,0,1.00,0,0
3/13/17,hike,1,0,0,0,0,0
3/16/17,b-ball,0,0,2,0,0,0
3/17/17,pullups,0,0,0,0,0,0.5
