date,summary,run,bike,sports,yoga,abs,lift
01/02/17,ski,0,0,4,0,0,0
01/03/17,yoga,0,0,0,0.67,0,0
01/05/17,ski,0,0,3.666666667,0,0,0
01/07/17,abs,0,0,0,0,8,0
01/09/17,yoga,0,0,0,0.92,0,0
01/10/17,pullups,0,0,0,0.17,0,1
01/11/17,yoga,0,0,0,0.25,0,0
01/12/17,yoga,0,0,0,0.32,0,0
01/13/17,pullups,0,0,0,0,0,0.5
01/14/17,yoga,0,0,0,0.18,0,0
01/16/17,yoga,0,0,0,0.82,0,0
01/18/17,hike,1.667,0,0,0,0,0
01/19/17,dips,0,0,0,0.13,0,1
01/20/17,yoga,0,0,0,0.78,0,0
01/22/17,yoga,0,0,0,0.53,0,0
01/23/17,bball,0,0,1,0,0,0
01/24/17,row,0,0,0,0,10,0
01/25/17,yoga,0,0,0,0.45,0,0
01/26/17,yoga,0,0,0,0.50,0,0
01/27/17,bball,0,0,1.67,0.17,0,0
01/28/17,yoga,0,0,0,0.45,0,0
01/29/17,yoga,0,0,0,0.9333333333,0,0
01/30/17,bball,0,0,1.33,0.33,5,0
01/31/17,pullups,0,0,0,0,0,0.6
02/01/17,yoga,0,0,0,0.67,0,0
02/02/17,0,0,0,0,0,5,0
02/03/17,0,0,0,0,0.17,0,0
02/04/17,dips,0,7.4,0,0,0,0.8333333333
02/05/17,yoga,0,0,0,0.68,8,0
02/06/17,bball,0,0,2.25,0.17,0,0
02/07/17,bike,0,3.4,0,0.25,0,0
02/08/17,shoulders,0,0,0.167,0,0,0.6666666667
02/09/17,yoga,0,0,0,0.37,0,0
02/10/17,bball,0,0,1.75,0,0,0
02/11/17,yoga,0,0,0,0.62,0,0
02/12/17,bball,0.5,0,1,0,0,0
02/13/17,0,0,0,0,0,0,0
02/15/17,bball,0,0,1.67,0,0,0
02/16/17,pullups,0,0,0.5,0,8,0.5
02/17/17,yoga,0,0,0,0.52,0,0
02/18/17,yoga,0,5.8,0,0.93,0,0
02/19/17,"bball, yoga",0,0,1.25,1.90,0,0
02/20/17,yoga,0,0,0,0.60,0,0
02/21/17,yoga,0,0,0,0.62,0,0
02/22/17,yoga,0,0,0,0.68,4,0
02/23/17,dips,0,8.6,0.33,0.10,8,1
02/24/17,bball,0,0,1.75,0,5,0
02/25/17,yoga,0,3.4,0.67,0,0,0
02/26/17,bball,0,0,1.25,0,0,0
02/27/17,yoga,0,0,0,0.35,0,0
02/28/17,yoga,0,0,0,0.33,0,0
03/02/17,yoga,0,3.1,0,0.67,0,0
03/03/17,bball,0,0,2.25,0.25,0,0
03/04/17,0,0,0,0,0,10,0
03/06/17,yoga,0,0,0,0.52,0,0
03/07/17,yoga,0,0,0,0.25,0,0
03/08/17,shoulders,0,3.7,0.3333333333,0,0,1
03/09/17,yoga,0,0,0,0.43,0,0
03/11/17,yoga,0,0,0,1.00,0,0
03/13/17,hike,1,0,0,0,0,0
03/16/17,b-ball,0,0,2,0,0,0
03/17/17,pullups,0,0,0,0,0,0.5
03/19/17,yoga,0,0,0,0.40,0,0
03/21/17,yoga,0,0,0,0.43,0,0
03/22/17,run,2.4,0,0,0,10,0.1
03/23/17,yoga,0,4.4,0,0.67,0,0
03/27/17,yoga,0,9,0,0.45,0,0
03/28/17,yoga,0,0,0,0.32,10,0
03/29/17,bike,0,8.2,0,0,0,0
03/30/17,yoga,0,0,0,0.42,0,0
