date,summary,run,bike,sports,yoga,abs,lift
7/1,shoulders,1.1,0,0,0,0,5
7/2,0,0,5,0,0,0.25,0
7/3,0,0,4.25,0,0,0,0
7/4,"bike, abs",0,4.6,0,0,0.33,10
7/5,chest+tri,0,0,0,0,0,6.5
7/6,0,0,0,0,0,0,0
7/7,legs,0,2.1,0.9166666667,0,0,2
7/9,run,2,0,0,0,0,0
7/10,back+bi,0.8,0,0,0,0,10
7/11,run,2,3,0,0,0,0
7/12,0,0,0,0,0,0,0
7/13,shoulders,0,6,0,0,0,11
7/14,run,3.2,0,0,0,0,0
7/17,bike,0,5.7,0,0,0,10
7/18,chest+tri,0,4.433333333,0,0,0,10
7/19,0,0,0,0,0,0,0
7/20,yoga,0,0,0,0,0.5333333333,0
7/23,legs,0.8,0,0,0,0,12
7/24,run,1.8,0,0.5,0,0,0
7/25,yoga,0,5.4,0,0,0.6666666667,0
7/26,bball,0,0,0.5,0,0,5
7/27,back+bi,0.8,12.26666667,0,0,0,8
7/28,yoga,0,0,0,0,0.8333333333,0
7/29,"run, yoga",3.4,0,0,0,0.5,0
7/30,"run, pullups",1.75,3,0,0,0,0
